Domain    ;State fluent      ;Mean (upper) ;Mean (lower) ;Mean (DiffMax) ;DiffMax list
HVAC      ;occupied          ;-2400.0288   ;-112634.46   ;110234.44      ;110234.5, 110234.42, 110234.4, 110234.42, 110234.414
HVAC      ;temp-heater       ;-274418.84   ;-7461.4854   ;266957.34      ;266957.34, 266957.34, 266957.34, 266957.34, 266957.34
HVAC      ;temp-zone         ;-1080000.0   ;-1080000.0   ;     0.0       ;0.0, 0.0, 0.0, 0.0, 0.0
UAV       ;phi               ;-1729.2637   ;-1728.5143   ;     3.2001464 ;5.396118, 0.23925781, 6.0737305, 0.053100586, 4.2385254
UAV       ;pos-x             ;-1001000.4   ;-999000.4    ;  2000.0       ;2000.0, 2000.0, 2000.0, 2000.0, 2000.0
UAV       ;pos-y             ;-1001000.4   ;-999000.4    ;  2000.0       ;2000.0, 2000.0, 2000.0, 2000.0, 2000.0
UAV       ;pos-z             ;-1001000.4   ;-999000.4    ;  1999.9375    ;1999.9375, 1999.9375, 1999.9375, 1999.9375, 1999.9375
UAV       ;psi               ;-1719.1199   ;-1732.1638   ;    13.043945  ;13.043945, 13.043945, 13.043945, 13.043945, 13.043945
UAV       ;theta             ;-1717.9297   ;-1727.4558   ;     9.52605   ;8.460571, 8.473267, 8.4104, 8.397339, 13.888672
UAV       ;vel               ;-1757.5289   ;-1553.1403   ;   204.38864   ;204.61548, 202.41907, 206.59375, 203.61987, 204.69507
MarsRover ;mineral-harvested ;279.63467    ;-0.2384624   ;   279.8731    ;279.94986, 279.858, 279.898, 279.81393, 279.8457
MarsRover ;pos-x             ;-0.2409791   ;4.5706797    ;     4.811659  ;6.803734, 3.8471055, 3.9131727, 3.907245, 5.5870376
MarsRover ;pos-y             ;-0.23641908  ;4.597895     ;     4.834314  ;6.8525987, 3.8792214, 3.9350123, 3.8446271, 5.6601114
MarsRover ;vel-x             ;4.756968     ;1.6581732    ;     3.098795  ;2.9855452, 3.1305304, 3.1273403, 3.1049676, 3.1455917
MarsRover ;vel-y             ;4.759177     ;1.6497921    ;     3.1093853 ;3.014679, 3.1221528, 3.1481695, 3.0942764, 3.167648
